@relation 'seismic-bumps_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute '0.334energy+0.315maxenergy+0.314nbumps+0.31 gpuls+0.255nbumps4...' numeric
@attribute 0.433ghazard=a-0.388ghazard=b+0.349seismoacoustic=a-0.3seismoacoustic=b-0.251gdenergy... numeric
@attribute '0.49 nbumps5+0.434maxenergy+0.398energy-0.285nbumps2-0.266nbumps...' numeric
@attribute -0.544seismic=a+0.544seismic=b-0.343ghazard=c-0.331seismoacoustic=c-0.215nbumps... numeric
@attribute -0.54seismoacoustic=b+0.448seismoacoustic=a+0.329ghazard=c+0.313seismoacoustic=c+0.226gdenergy... numeric
@attribute 0.396genergy-0.389seismoacoustic=c+0.358gpuls+0.326gdpuls-0.325ghazard=c... numeric
@attribute 0.427genergy-0.411gdenergy-0.373gdpuls-0.285nbumps2+0.274gpuls... numeric
@attribute -0.587ghazard=b+0.439ghazard=a+0.311ghazard=c-0.283seismoacoustic=a+0.254seismoacoustic=b... numeric
@attribute -0.784nbumps4-0.406shift+0.404nbumps5+0.122nbumps2-0.093gdpuls... numeric
@attribute -0.702shift-0.48nbumps3+0.276nbumps4-0.264genergy+0.226nbumps2... numeric
@attribute -0.643nbumps2+0.564nbumps3-0.418shift-0.201genergy-0.108nbumps5... numeric
@attribute class {1,0}

@data
-2.465833,0.961182,0.775549,-0.159462,0.020194,-0.468902,0.232218,-0.660744,-0.376959,-0.438249,-0.377851,0
-1.905756,1.457028,0.373997,-0.577949,-0.347393,-0.833976,-0.110032,-0.670582,-0.304557,-1.116301,0.322075,0
-2.5278,1.010678,0.776931,-0.142531,-0.036748,-0.557248,0.291654,-0.698712,-0.359766,-0.430492,-0.38086,0
-1.211719,0.872552,0.502283,-0.733624,0.24088,0.065414,-0.952101,-0.144106,-0.522825,-1.132,0.431658,0
-2.363375,0.854633,0.802044,-0.181865,0.113958,-0.330649,0.067691,-0.560925,-0.414991,-0.434084,-0.353187,0
-1.840543,0.987548,0.158533,-0.101235,0.241211,-0.230086,0.622814,-0.758138,0.468597,0.955849,0.444877,0
0.029861,1.220158,-1.110727,-1.163862,0.272175,0.314774,-0.793027,-0.427401,0.561539,1.213902,-1.305582,0
-1.324024,1.078896,0.467155,-0.71069,0.105384,-0.125052,-0.621095,-0.339088,-0.457417,-1.154477,0.371749,0
-1.456849,0.108677,0.810448,-0.422066,0.942119,0.950911,-0.862279,0.029502,-0.67591,-0.530548,-0.287734,0
-0.368649,0.811368,-0.617406,-0.791872,0.718374,0.819996,-0.253473,-0.449611,0.411722,0.939228,-0.483389,0
