@relation seismic-bumps-weka.filters.supervised.attribute.NominalToBinary-weka.filters.unsupervised.attribute.RandomProjection-N10-R42-DSparse1

@attribute K1 numeric
@attribute K2 numeric
@attribute K3 numeric
@attribute K4 numeric
@attribute K5 numeric
@attribute K6 numeric
@attribute K7 numeric
@attribute K8 numeric
@attribute K9 numeric
@attribute K10 numeric
@attribute class {1,0}

@data
0,0,81.406388,204.381995,83.138439,-126.439709,126.439709,1.732051,84.87049,0,0
0,3467.565717,55.425626,190.525589,-3406.943938,-3585.345172,-3341.126008,3465.833666,-3405.211888,-3464.101615,0
0,0,50.229473,183.597386,51.961524,-142.028166,142.028166,1.732051,53.693575,0,0
0,5199.616524,294.448637,223.434554,-4899.971735,-5235.989591,-5154.583203,5197.884474,-4898.239684,-5196.152423,0
0,0,96.994845,185.329436,98.726896,-110.851252,110.851252,1.732051,100.458947,0,0
0,0,336.017857,448.601159,337.749907,-126.439709,126.439709,1.732051,337.749907,0,0
3.464102,1738.979011,1061.747145,1030.570231,-148.956369,-1738.979011,-1202.04326,1210.703514,-665.10751,-1212.435565,0
0,6931.667332,334.285806,337.749907,-6592.185374,-6974.968602,-6879.705808,6929.935281,-6590.453323,-6928.20323,0
0,0,523.079344,431.280651,524.811395,91.798693,-91.798693,1.732051,526.543446,0,0
1.732051,869.489505,1167.402244,1124.100974,303.108891,-857.36515,-872.953607,866.025404,304.840942,-866.025404,0
0,8663.718139,232.094808,292.716586,-8426.427179,-8727.804019,-8590.972006,8661.986089,-8424.695128,-8660.254038,0
0,0,240.755062,292.716586,242.487113,-34.641016,34.641016,1.732051,244.219164,0,0
1.732051,696.284425,774.226711,807.135676,83.138439,-743.049796,-640.858799,692.820323,84.87049,-692.820323,0
0,10395.768947,370.658873,353.338365,-10019.913922,-10392.304845,-10390.572795,10394.036896,-10018.181871,-10392.304845,0
1.732051,1042.694586,356.802466,348.142212,-680.695967,-1008.05357,-1068.675348,1039.230485,-677.231866,-1039.230485,0
0,12131.283856,994.197164,987.26896,-9396.375631,-12127.819755,-10385.376642,10395.768947,-11128.426439,-10392.304845,0
0,0,200.917894,271.931977,202.649944,-93.530744,93.530744,3.464102,204.381995,0,0
0,0,138.564065,239.023011,140.296115,-112.583302,112.583302,3.464102,142.028166,0,0
0,0,100.458947,216.506351,102.190998,-136.832014,136.832014,3.464102,103.923048,0,0
0,0,64.08588,197.453792,65.817931,-147.224319,147.224319,3.464102,67.549981,0,0
0,0,53.693575,188.793538,55.425626,-124.707658,124.707658,1.732051,57.157677,0,0
0,6931.667332,119.511506,199.185843,-6806.959674,-7052.910888,-6801.763521,6929.935281,-6805.227623,-6928.20323,0
0,0,105.655099,178.401233,107.38715,-119.511506,119.511506,1.732051,109.119201,0,0
0,0,266.735824,174.937132,268.467875,83.138439,-83.138439,1.732051,270.199926,0,0
0,10399.233049,1849.830262,1837.705907,-5076.640917,-10387.108693,-6929.935281,6929.935281,-8540.742532,-6928.20323,0
0,6931.667332,367.194771,464.189616,-6559.276408,-7070.231396,-6784.443013,6929.935281,-6557.544357,-6928.20323,0
0,0,344.678111,443.405007,346.410162,-122.975607,122.975607,1.732051,348.142212,0,0
