@relation seismic-bumps-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S1

@attribute shift {W,N}
@attribute genergy numeric
@attribute gdenergy numeric
@attribute gdpuls numeric
@attribute nbumps numeric
@attribute nbumps3 numeric
@attribute nbumps7 numeric
@attribute nbumps89 numeric
@attribute energy numeric
@attribute class {1,0}

@data
N,15180,-72,-72,0,0,0,0,0,0
N,14720,-70,-79,1,1,0,0,2000,0
N,8050,-81,-78,0,0,0,0,0,0
N,28820,-23,40,1,1,0,0,3000,0
N,12640,-63,-52,0,0,0,0,0,0
W,63760,-73,-65,0,0,0,0,0,0
W,207930,-6,18,2,0,0,0,1000,0
N,48990,-27,-3,1,1,0,0,4000,0
N,100190,54,52,0,0,0,0,0,0
W,247620,4,25,1,0,0,0,500,0
N,41950,-39,-36,1,1,0,0,5000,0
N,53250,-19,-31,0,0,0,0,0,0
W,166180,-30,-19,1,0,0,0,400,0
N,64540,0,9,1,1,0,0,6000,0
N,75670,18,4,1,0,0,0,600,0
W,225040,-3,5,2,2,0,0,7000,0
N,31290,-52,-41,0,0,0,0,0,0
N,22890,-63,-58,0,0,0,0,0,0
N,13170,-77,-67,0,0,0,0,0,0
N,8900,-83,-77,0,0,0,0,0,0
N,13250,-71,-79,0,0,0,0,0,0
N,11710,-72,-47,1,1,0,0,4000,0
N,10640,-68,-43,0,0,0,0,0,0
N,45630,49,52,0,0,0,0,0,0
W,424650,1,7,2,2,0,0,6000,0
N,38820,-82,-57,1,1,0,0,4000,0
N,56960,-70,-58,0,0,0,0,0,0
W,212260,-50,-28,2,1,0,0,1400,0
N,42950,-76,-61,1,1,0,0,6000,0
W,172290,-57,-55,1,0,0,0,600,0
W,395110,46,40,3,3,0,0,6000,0
N,51320,11,23,1,1,0,0,6000,0
W,144880,-46,-52,1,1,0,0,2000,0
W,477750,86,60,3,0,0,0,1500,0
N,71840,54,28,1,1,0,0,6000,0
W,127360,-54,-53,1,0,0,0,700,1
W,514800,95,94,7,2,0,0,15700,0
N,69440,41,30,0,0,0,0,0,0
N,28460,-45,-45,0,0,0,0,0,0
N,23220,-53,-45,0,0,0,0,0,0
N,16630,-65,-59,0,0,0,0,0,0
N,8750,-80,-75,0,0,0,0,0,0
N,20150,-51,-62,1,1,0,0,5000,0
N,15590,-59,-48,0,0,0,0,0,0
W,102720,-64,-66,2,1,0,0,2700,0
W,250030,-8,-5,0,0,0,0,0,0
N,39510,12,40,1,1,0,0,5000,0
N,64200,86,35,1,0,0,0,500,0
W,309010,15,38,2,1,0,0,1800,0
N,59060,65,85,1,1,0,0,6000,0
N,66510,93,50,1,0,0,0,300,0
W,248900,-9,0,1,0,0,0,400,0
N,51620,51,34,1,1,0,0,7000,0
N,45150,24,-4,0,0,0,0,0,0
N,60460,56,29,0,0,0,0,0,0
N,18330,-57,-43,1,1,0,0,4000,0
N,50580,15,-18,0,0,0,0,0,0
W,269070,-1,4,2,0,0,0,800,0
N,37360,-21,0,1,1,0,0,4000,0
W,372770,37,32,3,0,0,0,1400,0
N,44180,-10,13,0,0,0,0,0,0
N,32070,-36,-23,0,0,0,0,0,0
N,31540,-32,-30,0,0,0,0,0,0
N,46380,6,-16,1,1,0,0,5000,0
N,18160,-57,-48,0,0,0,0,0,0
N,147520,-2,-6,0,0,0,0,0,0
W,202640,-33,-41,2,1,0,0,4300,0
W,259110,-11,46,1,0,0,0,900,0
N,40210,-71,-59,1,1,0,0,5000,0
N,59210,-54,-61,0,0,0,0,0,0
W,590510,23,-6,1,0,0,0,800,0
N,75930,-38,-27,1,1,0,0,6000,0
N,73030,25,7,0,0,0,0,0,0
W,317360,-36,-44,0,0,0,0,0,0
W,227990,-52,-59,2,1,0,0,4300,0
N,96080,60,92,0,0,0,0,0,0
W,210960,-44,-35,1,1,0,0,5000,0
N,24900,-57,-29,0,0,0,0,0,0
W,302440,-16,9,2,0,0,0,600,0
N,46160,-16,15,1,1,0,0,6000,0
W,436650,23,6,0,0,0,0,0,0
N,58230,8,27,0,0,0,0,0,0
N,36380,-32,-2,1,1,0,0,4000,0
W,169370,-53,-45,0,0,0,0,0,0
N,96600,87,70,0,0,0,0,0,0
W,233810,-31,-24,0,0,0,0,0,0
W,149050,-54,-35,1,1,0,0,6000,0
N,63550,15,35,0,0,0,0,0,0
W,194580,-35,-32,0,0,0,0,0,0
N,63550,15,35,0,0,0,0,0,0
W,194580,-35,-32,0,0,0,0,0,0
N,46020,-18,6,1,1,0,0,5000,0
N,104390,91,29,0,0,0,0,0,0
W,285750,1,-19,0,0,0,0,0,0
N,26510,-55,-60,0,0,0,0,0,0
N,25580,-54,-53,1,1,0,0,6000,0
W,298230,9,-2,0,0,0,0,0,0
