@relation 'solar-flare_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute '0.317largest_spot_size=K+0.309spot_distribution=C-0.286M-class_flares_production_by_this_region=0+0.27 Historically-complex+0.259Area...' numeric
@attribute 0.415spot_distribution=X+0.415class=H-0.372largest_spot_size=X-0.372class=B+0.284Area_of_the_largest_spot... numeric
@attribute -0.379spot_distribution=I-0.344largest_spot_size=A+0.253C-class_flares_production_by_this_region=1-0.249class=C+0.242class=B... numeric
@attribute 0.448Evolution=3-0.391class=C-0.356spot_distribution=O-0.334Evolution=2-0.258Evolution=1... numeric
@attribute 0.454C-class_flares_production_by_this_region=0-0.452C-class_flares_production_by_this_region=2-0.417M-class_flares_production_by_this_region=4+0.338Previous_24_hour_flare_activity_code-0.27C-class_flares_production_by_this_region=1... numeric
@attribute -0.54M-class_flares_production_by_this_region=1+0.484M-class_flares_production_by_this_region=0+0.403class=D-0.204class=F+0.199Area... numeric
@attribute 0.475Evolution=2-0.33Evolution=3-0.298Evolution=1+0.274largest_spot_size=A+0.263spot_distribution=I... numeric
@attribute -0.496C-class_flares_production_by_this_region=1+0.434M-class_flares_production_by_this_region=4+0.409C-class_flares_production_by_this_region=2-0.387largest_spot_size=H+0.261C-class_flares_production_by_this_region=0... numeric
@attribute '0.591largest_spot_size=R-0.41largest_spot_size=S+0.34 class=C-0.276class=D+0.237largest_spot_size=H...' numeric
@attribute -0.397largest_spot_size=R+0.354largest_spot_size=H-0.349M-class_flares_production_by_this_region=1-0.33largest_spot_size=A-0.288class=D... numeric
@attribute '-0.7class=E+0.474class=F-0.209largest_spot_size=A+0.19 class=D-0.188M-class_flares_production_by_this_region=2...' numeric
@attribute '0.527class=F-0.389class=D-0.37largest_spot_size=H+0.28 largest_spot_size=K+0.219class=E...' numeric
@attribute -0.515Evolution=1-0.399Activity+0.304Evolution=2-0.301Previous_24_hour_flare_activity_code+0.296M-class_flares_production_by_this_region=2... numeric
@attribute -0.469Evolution=1-0.425spot_distribution=I+0.306spot_distribution=O+0.296largest_spot_size=H+0.264largest_spot_size=A... numeric
@attribute '0.496M-class_flares_production_by_this_region=2-0.38largest_spot_size=K+0.336class=F+0.25 Area-0.235M-class_flares_production_by_this_region=1...' numeric
@attribute 0.409M-class_flares_production_by_this_region=2+0.381Evolution=1+0.366largest_spot_size=H-0.326largest_spot_size=S-0.321Activity... numeric
@attribute -0.438class=C+0.367class=F+0.365class=E-0.287largest_spot_size=A+0.274largest_spot_size=H... numeric
@attribute '-0.671Did_region_become_historically_complex+0.33 largest_spot_size=H+0.203class=E+0.202Evolution=1-0.191spot_distribution=X...' numeric
@attribute '0.46 Area+0.448Did_region_become_historically_complex-0.37Previous_24_hour_flare_activity_code-0.239Area_of_the_largest_spot-0.232M-class_flares_production_by_this_region=2...' numeric
@attribute 0.609Area_of_the_largest_spot-0.566Historically-complex+0.209Area-0.191M-class_flares_production_by_this_region=2-0.177Activity... numeric
@attribute X-class_flares_production_by_this_region {0,1}

@data
-1.136932,0.661161,-0.321164,-2.624,-0.071722,-0.087322,-0.389407,0.169391,-0.249531,0.269813,-0.526473,0.152249,1.35992,0.843863,0.478932,-0.624229,-0.227023,0.134764,0.372393,0.718869,0
-0.578419,-0.174922,-0.708003,-0.118774,-0.837854,0.810744,-1.548001,-0.085285,-1.501067,-0.456616,0.02923,-1.006119,0.274501,0.437708,0.203904,-1.046838,1.410817,0.018881,0.12808,0.38663,0
-1.543747,-0.685952,-0.79814,-1.03412,-0.486545,-0.247882,-1.80293,-0.14193,-0.022715,0.524369,-0.16272,-0.20806,0.674577,0.653331,0.721235,-1.077391,-0.372466,0.195097,0.850494,-1.053429,0
-0.578419,-0.174922,-0.708003,-0.118774,-0.837854,0.810744,-1.548001,-0.085285,-1.501067,-0.456616,0.02923,-1.006119,0.274501,0.437708,0.203904,-1.046838,1.410817,0.018881,0.12808,0.38663,0
-0.275946,-0.638085,-1.622246,0.640573,-0.554042,1.430872,-0.377027,0.002123,-0.904249,-1.759819,-0.350444,-0.699811,-0.752488,1.268147,0.157355,0.349287,0.47934,-0.11417,-0.260471,0.584442,0
-0.313694,0.04946,-0.86315,-0.937041,0.008723,1.633757,1.251978,0.471128,-1.070765,-2.056067,-0.456035,-0.614893,-0.007093,0.865909,0.101672,0.799004,0.318907,0.200285,-0.183468,0.942176,0
-0.758258,-0.610109,-0.58103,-0.924774,0.156664,1.676082,1.467459,0.628813,-1.010465,-2.09776,-0.197872,-0.890284,0.052959,0.273139,0.288291,0.795559,0.013031,0.575073,0.371638,-0.472388,0
-0.313694,0.04946,-0.86315,-0.937041,0.008723,1.633757,1.251978,0.471128,-1.070765,-2.056067,-0.456035,-0.614893,-0.007093,0.865909,0.101672,0.799004,0.318907,0.200285,-0.183468,0.942176,0
0.454137,-0.770612,-0.498867,0.593488,-0.427911,1.494254,-1.387592,0.268184,-0.503652,-0.514179,0.424566,0.120204,0.496919,0.340165,-1.360352,-0.568432,1.162128,0.177202,-0.866534,0.608191,0
-1.678575,-0.908943,-0.799515,-0.828297,-0.152535,0.536397,-1.701868,-0.312609,2.692522,-1.169841,0.467226,0.526126,0.305949,0.006029,0.196646,-0.47161,0.035944,-0.217469,0.720187,-1.333693,0
-2.365194,-3.105102,0.957392,0.966032,0.17177,-0.291391,-0.292809,0.423481,-0.110334,0.21161,0.142474,-0.019471,-0.16666,0.254236,-0.100927,0.059715,-0.004084,0.0548,0.021582,-0.375355,0
-1.06073,-0.146946,0.333212,-1.68412,-0.127147,1.055953,0.296484,0.541404,-1.607283,-0.794556,0.181802,-1.196592,1.079948,-0.557299,0.33484,-0.600565,0.944509,0.708124,0.76019,-0.6702,0
-0.106025,-0.003215,-2.203687,0.457599,-0.218297,0.004791,0.119318,-2.79521,2.436172,2.92817,0.867694,-1.872653,1.170442,1.47216,-0.449199,1.414774,0.435887,1.570274,0.411771,0.629969,0
-1.15781,-1.057482,-0.427258,0.099316,-0.355901,1.637348,-1.231458,-0.09828,1.27447,-2.192518,0.917339,-0.547324,-0.034076,-0.802364,-0.134066,-0.444501,1.513351,-0.018897,0.552879,-1.308198,0
-2.402942,-2.417557,1.716488,-0.611582,0.734536,-0.088506,1.336195,0.892486,-0.27685,-0.084638,0.036884,0.065447,0.578735,-0.148002,-0.15661,0.509433,-0.164517,0.369255,0.098586,-0.017621,0
-2.365194,-3.105102,0.957392,0.966032,0.17177,-0.291391,-0.292809,0.423481,-0.110334,0.21161,0.142474,-0.019471,-0.16666,0.254236,-0.100927,0.059715,-0.004084,0.0548,0.021582,-0.375355,0
1.145413,-0.374242,-1.43345,1.712977,-0.07468,1.399428,-0.4798,-0.094779,-0.171987,0.359197,0.848362,-0.122632,0.916742,-1.221624,-0.95164,-0.800798,0.35326,0.110423,-0.571941,1.081454,0
-0.616167,0.512623,0.051093,-1.696387,-0.275088,1.013628,0.081003,0.38372,-1.667583,-0.752864,-0.076361,-0.921201,1.019896,0.03547,0.14822,-0.59712,1.250384,0.333336,0.205084,0.744364,0
-1.195559,-0.369937,0.331837,-1.478298,0.206864,1.840232,0.397546,0.370725,1.107954,-2.488766,0.811748,-0.462406,0.711319,-1.204602,-0.189749,0.005216,1.352919,0.295558,0.629883,-0.950464,0
-0.143183,0.594368,-2.16999,-0.745165,0.56532,0.437981,1.68936,-0.106163,0.678952,-0.160014,-0.482352,0.215721,0.752755,0.112512,0.841096,0.539531,-1.967368,-0.065066,0.278433,1.389943,0
-1.581495,0.001592,-0.039045,-2.611733,0.07622,-0.044997,-0.173926,0.327075,-0.189231,0.228121,-0.26831,-0.123142,1.419972,0.251093,0.665552,-0.627674,-0.532898,0.509552,0.927498,-0.695695,0
-2.365194,-3.105102,0.957392,0.966032,0.17177,-0.291391,-0.292809,0.423481,-0.110334,0.21161,0.142474,-0.019471,-0.16666,0.254236,-0.100927,0.059715,-0.004084,0.0548,0.021582,-0.375355,0
1.810253,-0.139494,-2.158906,1.565622,0.849856,-0.851718,0.204203,-0.09727,-0.971621,1.262152,3.73975,4.470549,0.297584,-0.164209,0.869987,0.361964,1.96413,0.560051,-0.444003,-0.100557,0
-2.402942,-2.417557,1.716488,-0.611582,0.734536,-0.088506,1.336195,0.892486,-0.27685,-0.084638,0.036884,0.065447,0.578735,-0.148002,-0.15661,0.509433,-0.164517,0.369255,0.098586,-0.017621,0
-1.762656,4.062393,2.07431,1.132107,0.142894,0.211066,0.605911,0.044032,2.252705,-1.951534,0.390382,0.647466,0.19761,-0.613929,0.447499,-0.364171,-0.19119,1.688065,-1.23507,-0.053126,0
-1.673918,-2.708732,0.02281,2.085521,0.525001,-0.386217,0.614983,0.060519,0.221332,1.084987,0.56627,-0.262307,0.253163,-1.307553,0.307786,-0.17265,-0.812952,-0.011979,0.316175,0.097908,0
-0.542736,0.146996,-2.016217,0.278925,0.052755,0.399247,-1.009557,-0.833256,2.963887,-0.254772,0.632859,0.558682,0.66572,-0.962991,0.418739,-0.70053,-0.467048,-0.659037,0.459674,0.554133,0
-2.365194,-3.105102,0.957392,0.966032,0.17177,-0.291391,-0.292809,0.423481,-0.110334,0.21161,0.142474,-0.019471,-0.16666,0.254236,-0.100927,0.059715,-0.004084,0.0548,0.021582,-0.375355,0
-1.920631,-2.445533,0.675273,0.953765,0.023829,-0.333716,-0.50829,0.265796,-0.170634,0.253303,-0.115689,0.25592,-0.226712,0.847006,-0.287546,0.063161,0.301792,-0.319988,-0.533524,1.039209,0
0.974408,-0.091678,-2.86333,1.495452,-0.11188,1.299526,0.647352,-0.040686,-0.964461,-0.514424,0.344165,-0.606045,-0.547638,-0.158196,0.112588,0.353994,-0.630223,-0.330576,-0.435056,-0.114157,0
1.097883,-1.264024,-0.018196,0.144469,-2.939578,1.930437,0.504819,-2.55715,-1.011706,-1.67397,-1.113742,0.38315,-1.159556,0.787266,0.798959,0.119169,0.11594,-0.844497,-0.701081,0.343196,1
-2.365194,-3.105102,0.957392,0.966032,0.17177,-0.291391,-0.292809,0.423481,-0.110334,0.21161,0.142474,-0.019471,-0.16666,0.254236,-0.100927,0.059715,-0.004084,0.0548,0.021582,-0.375355,0
0.41533,-0.241715,-2.556828,1.760062,-0.200812,1.336047,0.530766,-0.360839,-0.572584,-0.886442,0.073352,-0.942647,-0.332664,-0.293643,0.566067,0.116922,-0.329528,-0.180949,0.034121,1.057705,0
-1.920631,-2.445533,0.675273,0.953765,0.023829,-0.333716,-0.50829,0.265796,-0.170634,0.253303,-0.115689,0.25592,-0.226712,0.847006,-0.287546,0.063161,0.301792,-0.319988,-0.533524,1.039209,0
-0.713247,-0.397913,-0.709378,0.087049,-0.503843,1.595023,-1.446939,-0.255965,1.21417,-2.150825,0.659176,-0.271933,-0.094128,-0.209594,-0.320685,-0.441056,1.819227,-0.393685,-0.002227,0.106366,0
-0.758258,-0.610109,-0.58103,-0.924774,0.156664,1.676082,1.467459,0.628813,-1.010465,-2.09776,-0.197872,-0.890284,0.052959,0.273139,0.288291,0.795559,0.013031,0.575073,0.371638,-0.472388,0
-0.549998,-0.752745,-2.646965,0.844716,0.150496,0.277421,0.275837,-0.417484,0.905768,0.094542,-0.118598,-0.144588,0.067412,-0.07802,1.083399,0.086368,-2.112811,-0.004733,0.756535,-0.382354,0
1.865926,-0.689643,-0.218064,-0.565999,-1.78671,2.0443,3.373683,-1.973269,-1.178135,-0.766517,-0.26656,0.286444,-0.14926,-1.634085,0.885128,0.570147,-1.459931,-0.37166,-0.243557,-1.412233,0
1.76881,0.34538,-1.120377,-0.495594,2.166441,1.026838,2.78934,0.244926,0.206437,-0.602296,-0.03793,-2.061713,-1.758446,-0.268251,1.30142,-1.08845,0.211419,-0.629286,-0.653225,1.30891,0
0.93666,0.595866,-2.104234,-0.082162,0.450885,1.50241,2.276356,0.428319,-1.130977,-0.810672,0.238574,-0.521127,0.197757,-0.560434,0.056905,0.803711,-0.790656,-0.016121,-0.358052,0.243577,0
