@relation solar-flare-weka.filters.unsupervised.attribute.RandomSubset-N0.5-S1

@attribute largest_spot_size {A,H,K,R,S,X}
@attribute Historically-complex {1,2}
@attribute Did_region_become_historically_complex {1,2}
@attribute Area {1,2}
@attribute Area_of_the_largest_spot {1,2}
@attribute M-class_flares_production_by_this_region {0,1,2,4}
@attribute X-class_flares_production_by_this_region {0,1}

@data
S,1,2,1,2,0,0
S,1,2,1,2,0,0
S,1,2,1,1,0,0
S,1,2,1,2,0,0
A,1,2,1,2,0,0
A,1,2,1,2,0,0
A,1,2,1,1,0,0
A,1,2,1,2,0,0
K,1,2,1,2,0,0
R,1,2,1,1,0,0
X,1,2,1,1,0,0
S,1,2,1,1,0,0
H,1,2,1,2,0,0
R,1,2,1,1,0,0
X,1,2,1,1,0,0
X,1,2,1,1,0,0
K,1,2,1,2,0,0
S,1,2,1,2,0,0
R,1,2,1,1,0,0
A,1,2,1,2,0,0
S,1,2,1,1,0,0
X,1,2,1,1,0,0
K,2,2,1,2,0,0
X,1,2,1,1,0,0
R,1,1,1,2,0,0
X,1,2,1,1,0,0
R,1,2,1,2,0,0
X,1,2,1,1,0,0
X,1,2,1,2,0,0
A,2,2,1,2,0,0
A,1,2,1,2,0,1
X,1,2,1,1,0,0
A,1,2,1,2,0,0
X,1,2,1,2,0,0
R,1,2,1,2,0,0
A,1,2,1,1,0,0
A,1,2,1,1,0,0
A,2,2,1,1,0,0
A,1,2,1,2,0,0
A,2,2,1,2,0,0
X,1,2,1,1,0,0
R,1,2,1,1,0,0
A,1,2,1,1,0,0
S,1,2,1,1,0,0
S,1,2,1,1,0,0
A,2,2,1,2,1,0
A,2,2,1,1,0,0
A,2,2,1,1,0,0
X,1,2,1,1,0,0
S,2,2,1,2,0,0
S,1,2,1,1,0,0
X,1,2,1,1,0,0
A,2,2,1,2,0,0
K,2,2,1,2,1,0
A,2,2,1,2,0,0
X,1,2,1,1,0,0
A,2,2,1,2,0,0
S,1,2,1,1,0,0
K,1,2,1,2,0,0
A,1,2,1,2,0,0
X,1,2,1,1,0,0
S,2,2,1,2,0,0
K,2,2,1,2,2,1
K,2,2,1,2,0,0
S,2,2,1,2,0,0
S,2,2,1,2,0,0
S,2,2,1,2,0,0
H,2,2,1,1,0,0
S,2,2,1,2,0,0
X,1,2,1,1,0,0
X,1,2,1,1,0,0
R,1,2,1,1,0,0
S,1,1,1,2,0,0
A,2,2,1,2,0,0
K,2,2,1,2,0,0
K,2,2,1,2,2,1
S,2,2,1,1,1,0
A,2,2,1,2,0,0
S,2,2,1,2,0,0
S,2,2,1,2,0,0
K,2,2,1,2,0,0
R,1,2,1,2,0,0
X,1,2,1,1,0,0
S,1,1,1,2,0,0
S,2,2,1,2,0,0
K,2,2,1,2,0,0
A,2,2,1,2,0,0
S,2,2,1,1,0,0
S,2,2,1,2,0,0
S,2,2,1,2,0,0
S,2,2,1,2,0,0
K,2,2,1,2,1,0
R,1,2,1,2,0,0
S,1,1,1,2,0,0
S,1,2,1,2,0,0
K,2,2,1,2,0,0
S,2,2,1,2,0,0
S,2,2,1,2,0,0
K,2,2,1,2,0,0
A,2,2,1,2,0,0
R,1,2,1,2,0,0
S,1,1,1,2,0,0
R,1,2,1,2,0,0
S,1,2,1,2,0,0
X,1,2,1,2,0,0
S,2,2,1,2,0,0
S,2,2,1,2,0,1
K,2,2,1,2,1,0
A,2,2,1,2,0,0
S,1,2,1,2,0,0
X,1,2,1,1,0,0
S,1,2,1,1,1,0
S,1,2,1,2,1,0
K,2,2,1,2,0,0
K,2,2,1,2,0,0
A,1,2,1,2,0,0
R,1,2,1,2,0,0
R,1,2,1,2,0,0
X,1,2,1,1,0,0
